Código;Descripción;Precio;Stock
6920DXPS1393651GA;Portátil Convertible 2 en 1 DELL XPS 13 9365 TACTIL GRADO A (Intel Core i7 7Y75 1.3Ghz/16GB/256SSD-M.2/13"FHD/W10P) Preinstalado;419;17 
6920DXPS1393652GA;Portátil Convertible 2 en 1 DELL XPS 13 9365 TACTIL GRADO A (Intel Core i7 7Y75 1.3Ghz/16GB/256SSD-M.2/13"FHD/W8P) Preinstalado;419;1 
6920HP2570P2GB;Portátil Hp EliteBook 2570P GRADO B con teclado castellano (Intel Core i7 3520M 2.90Ghz/4GB/320GB/12.1"/DVDRW/W8P) Preinstalado;125;4 
6950HPCH11AG6EO1GA;HP Chromebook 11A G6 EE ORANGE GRADO A (AMD A4-9120C 1.6Ghz/4GB/32GB-eMMC/11.6"HD/NO-DVD/Chrome) Preinstalado;69;282 
6950HPCH11AG6EO1GB;HP Chromebook 11A G6 EE ORANGE GRADO B (AMD A4-9120C 1.6Ghz/4GB/32GB-eMMC/11.6"HD/NO-DVD/Chrome) Preinstalado;59;5 
6920HP645G21GB;Portátil HP Probook 645 G2 GRADO B (AMD A8-8600B 1.6Ghz/8GB/240SSD/NO-DVD/14"/W7P) Preinstalado;249;1 
6920LENE41451PA;Portátil Premium Ultrabook Lenovo Ideapad 82BF E41-45 (AMD A6-7350b 3.0Ghz/4GB/1TB/14"/NO-DVD/W10H) Preinstalado;199;21 
6920LENI5152GAP;Portátil Premium Lenovo Ideapad 5 15IIL05 GRADO A MX350 2 GB (Intel Core I7 1065G7 1.30Ghz/8GB/512GB-M.2/15.6"FHD/NO-DVD/W10H);679;1 
6920LENI530S14ARR1GAP;Portátil Premium Ultrabook Lenovo Ideapad 530S-14ARR GRADO A+ - VEGA 8 - 2GB (Ryzen 5 2500U 2.80Ghz/8GB/256GB-M.2/14"FHD/NO-DVD/W10) preinstalado;469;3 
6920LENI54014API1GAP;Portátil Premium Ultrabook Lenovo Ideapad 540S-14API GRADO A+ VEGA8 2GB (Ryzen 5 3500U 2.10Ghz/8GB/512SSD/14"FHD/NO-DVD/W10) Preinstalado;519;1 
6920LENIP515ITL1GAP;Portátil Premium Lenovo Ideapad 5 15ITL05 + MX450 2GB GRADO A+ (Intel Core i7 1165G7 2.80Ghz/8GB/512GB-M.2/15.6"FHD/NO-DVD/W10H);699;1 
6940B1930S21GB;Monitor Belinea 1930-S2 - GRADO B - 19" - VGA/DVI - Negro/Plata;35;1 
6940S923NW1GB;Monitor Samsung 923NW Panoramico- GRADO B - 19" - VGA - Negro;39;1 
6940S940N1GB;Monitor Samsung 940N - GRADO B - 19" - VGA - Negro/Plata;35;1 
6940SB19401GB;Monitor Samsung B1940 - GRADO B - 19" Wide - VGA/DVI - Negro;35;1 
6940D1908FPB1GB;Monitor Dell 1908FPB GRADO B - 19" - VGA /DVI - Negro/Plata;35;1 
6940DP190SB1GB;Monitor Dell P190SB GRADO B - 19" - VGA/DVI - Negro;35;1 
6940DP190ST1GB;Monitor Dell P190ST GRADO B - 19" - VGA/DVI - Negro;35;1 
6940DU1909WF1GB;Monitor Dell Ultrasharp E1909WF Panorámico - GRADO B - 19" - DVI/VGA - Negro/Plata;35;1 
6940HPE190I1GB;Monitor HP E190i - LED - 19" -  GRADO B  -  VGA/DVI/DP- Negro/plata;35;207 
6940HPL1940T1GB;Monitor HP L1940T GRADO B - 19" - VGA/DVI - Negro/Plata;35;15 
6940HPL1945W1GB;Monitor HP L1945W GRADO B - 19" - VGA - Negro;35;1 
6940HPLA1951G1GB;Monitor HP LA 1951g GRADO B - 19" - VGA/DVI - Negro/Plata;35;5 
6940HPLA1956X1GB;Monitor HP LA 1956x - GRADO B - LED - 19" - VGA/DVI/DisplayPort - Plata;35;59 
6940HPLE1901W1GB;Monitor HP LE1901w - GRADO B - 19" Panorámico - VGA - Negro;39;5 
6940HPLP19651GB;Monitor HP LP 1965 GRADO B 19" - DVI - Negro/Plata;35;3 
6940AB193W1GB;Monitor Acer B193W GRADO B - 19" - VGA/DVI - Negro;35;1 
6940ABE24A1GB;Monitor ASUS BE24A QLB-G GRADO B - 24" - VGA/DVI/DP - Blanco;79;16 
6940AOCE960P1GB;Monitor AOC E960P - GRADO B  - 19" - VGA/DVI - Negro;35;1 
6940AV196L1GB;Monitor Acer V196L GRADO B - 19" - VGA/DVI - Negro;35;1 
6940AX193HQ1GB;Monitor Acer X193HQ- GRADO B - 19" - Panoramico - VGA - Negro;35;3 
6940BENQE900T1GB;Monitor BenQ E900T- GRADO B - VGA/DVI - Plata;49;1 
6940BENQG9251GB;Monitor BenQ G925 Panoramico GRADO B - VGA - Negro;39;1 
6940HA1921GB;Monitor Hanns-g - HA192 Panoramico GRADO B- 19" - VGA - Negro;39;4 
6940HZ1941GB;Monitor Hanns-g - HZ194 Panoramico GRADO B- 19" - VGA - Negro;39;1 
6940LGL1942SE1GB;Monitor LG L1942SE - GRADO B - 19" - VGA - Negro;35;1 
6940PB190W1GB;Monitor Packard Bell 190w Panorámico GRADO B - 19" - VGA - Negro;39;6 
6940PH190B91GB;Monitor Philips 190B9 GRADO B - 19" - VGA/DVI - Plata;35;1 
6940PH190CW1GB;Monitor Philips 190CW GRADO B - 19" - VGA/DVI - Plata;35;1 
6940PH190S1GB;Monitor Philips 190S GRADO B - 19" - VGA/DVI - Negro/Plata;35;1 
6940AB223W2GB;Monitor Acer B223W GRADO B - 22" - VGA/DVI - Negro;55;3 
6940ACERB226HQL1GB;Monitor Acer B226HQL - 22" - GRADO B - VGA/DVI/DP- Negro;55;1 
6940ACERB226WL1GB;Monitor Acer B226WL - 22" - GRADO B - VGA/DVI/DP- Negro;55;3 
6940AKS220HQ1GB;Monitor Acer KA220HQ GRADO B - 22" - VGA/DVI - Negro;49;1 
6940ASVS228GB;Monitor ASUS VS228 GRADO B - 22" - VGA/DVI - Negro;49;1 
6940AV233H1GB;Monitor Acer V233H GRADO B - 23"  FHD - VGA/DVI - Negro;59;3 
6940AVE2281GB;Monitor ASUS VE228 GRADO B - 22" - VGA/DVI - Negro;49;2 
6940B220BW91GB;Monitor Philips Brilliance 220BW9 GRADO B - 22" - VGA/DVI - Negro/Plata;55;2 
6940FB22W61GB;Monitor Fujitsu ScenicView B22W-6- GRADO B - 22" - VGA/DVI - Negro;55;2 
6940FE22W51GB;Monitor Fujitsu ScenicView E22W5 - GRADO B - 22" LED - VGA/DVI - Negro;55;4 
6940HHHI221GB;Monitor Hanns-G HI221 GRADO B -  22" - VGA/DVI - Negro;49;2 
6940L226WTQ1GB;Monitor LG 226WTF GRADO B - 22" - VGA/DVI - Negro;59;1 
6940LG22M351GB;Monitor LG 22M35 GRADO B - 22" - VGA - Negro;59;4 
6940NE221W1GB;Monitor NEC E221W GRADO B - 22" - VGA/DVI - Negro;59;1 
6940NEC22WV1GB;Monitor NEC 22WV GRADO B - 22" - VGA - Negro/Plata;55;2 
6940PH220S21GB;Monitor Philips  220S2 GRADO B- 22" - VGA/DVI - Negro;55;3 
6940PH220SW1GB;Monitor Philips  220SW  GRADO B - 22" - VGA/DVI - Negro/plata;55;7 
6940PH221P1GB;Monitor Philips  221P - GRADO B - 22" - VGA/DVI/DP - Negro-Plata;45;2 
6940PH221PP1GB;Monitor Philips 221P pie para tiny - GRADO B - 22" - VGA/DVI/DP - Negro-Plata;55;56 
6940S2243SW1GB;Monitor Samsung SyncMaster 2243SW GRADO B - 22" - VGA/DVI - Negro;59;1 
6940S2243WB1GB;Monitor Samsung SyncMaster 2243BW GRADO B - 22" - VGA/DVI - Negro;45;1 
6940S22C450BW1GB;Monitor Samsung S22C450BW GRADO B - 22" - VGA/DVI - Negro;55;1 
6940S22C450N1GB;Monitor Samsung S22C450 GRADO B - 22" - VGA/DVI - Negro;55;10 
6940S22E4501GB;Monitor Samsung S22E450 -  GRADO B - 22" - VGA/DVI/DP -  LED - Negro;55;1 
6940SB22401GB;Monitor Samsung SyncMaster B2240W - GRADO B - 22" - VGA/DVI - Negro;55;6 
6940SSA450BWGB;Monitor Samsung S22A450BW GRADO B - 22" - VGA/DVI - LED - Negro;55;4 
6940DE2208WFPT1GB;Monitor Dell 2208WFPt GRADO B - 22" - VGA/DVI - Negro/Plata;55;7 
6940DE2209WF1GB;Monitor Dell E2209WF- GRADO B - 22" - VGA/DVI - Negro;55;1 
6940DE228WFP1GB;Monitor Dell E228WFP - GRADO B - 22" - VGA/DVI - Negro;55;4 
6940DEP2210F1GB;Monitor Dell P2210F - GRADO B - 22" Widescreen - DVI/VGA/DP - Negro;55;7 
6940DEP2210T1GB;Monitor Dell P2210T - GRADO B - 22" Widescreen - DVI/VGA/DP - Negro;55;1 
6940DG2210T1GB;Monitor Dell G2210T - GRADO B - 22" Widescreen - DVI/VGA - Negro;59;2 
6940DP22113F1GB;Monitor Dell P2213F - GRADO B - 22" - DVI/VGA/DP - Negro;55;1 
6940DP2211H1GB;Monitor Dell P2211H - GRADO B -  22" - DVI/VGA - Negro;55;4 
6940DP2211HT1GB;Monitor Dell P2211HT - GRADO B -  22" LCD FHD - DVI/VGA - Negro;55;5 
6940DP2212H1GB;Monitor Dell P2212H GRADO B - 22" - DVI/VGA - Negro;55;11 
6940DP2214HB1GB;Monitor Dell P214HB GRADO B - 22" LCD FHD - DP/DVI/VGA - Negro/Plata;55;2 
6940DS2209WB1GB;Monitor Dell S2209WB - GRADO B - 22" - VGA/DVI - Negro;55;1 
6940HPE221C2GB;Monitor HP Elitedisplay E221 GRADO B - 22" FHD - VGA/DVI/DP - Negro;49;2 
6940HPLA2205WG1GB;Monitor HP LA2205WG - GRADO B - 22" - VGA/DVI/DisplayPort - Negro/Plata;55;3 
6940HPLA2206XGB;Monitor HP LA 2206x GRADO B - 22" FHD - VGA/DVI/DP- Negro;49;1 
6940HPLA22F1GB;Monitor HP LA22F - GRADO B - 22" - VGA/DVI/DP- Negro/Plata;55;1 
6940HPZR2330W1GB;Monitor HP ZR2330W GRADO B - LED - 23" - VGA/DVI/DisplayPort - Negro;72;17 
6940HPLA2306X1GB;Monitor HP LA 2306x GRADO B - LED - 23" - VGA/DVI/DisplayPort - Negro;75;2 
6940AG235H1GB;Monitor Acer G2235H GRADO B - 23" FHD - VGA/DVI - Plata;65;11 
6940AX233H1GB;Monitor Acer X233H GRADO B - 23" FHD - VGA/DVI - Negro;59;1 
6940EFEV2216W1GB;Monitor EIZO Flexscan EV2216W GRADO B - 22" - VGA/DVI/DisplayPort - Negro;55;1 
6940LG23MB35PM1GB;Monitor LG Flatron 23MB35PM GRADO B - 23" FHD - VGA/DVI - Negro;59;3 
6940LGIPS2351GB;Monitor LG Flatron IPS235 GRADO B - 23" FHD - VGA/DVI/HDMI - Negro;59;29 
6940DP2312HT1GB;Monitor Dell P2312HT - GRADO B - 23" - VGA/DVI - Negro;59;3 
6940DS2309WB1GB;Monitor Dell S2309WB - GRADO B - 23" - VGA/DVI - Negro;59;1 
6940LT2323P1GB;Monitor Lenovo ThinkVision LT2323P GRADO B - 23" FHD - VGA/DVI/DP- Negro;59;1 
6940S24431GB;Monitor Samsung SyncMaster 2443BW GRADO B - 24" - VGA/DVI - Negro;65;1 
6940SNC2411GA;Monitor Samsung NC241 GRADO A - 23.6" - VGA/DVI-OUT -  FHD LED - Negro;75;1 
6940SNC2411GB;Monitor Samsung NC241 GRADO B - 23.6" - VGA/DVI-OUT-  FHD LED - Negro;65;1 
6940AB243HL1GB;Monitor Acer B243HL GRADO B - 24" - VGA/DVI - Negro;67;1 
6940ACB246HL1GB;Monitor ACER B246HL GRADO B - LED 24" FHD - VGA/DVI/DP - Negro/Gris;65;3 
6940AV243HQ1GB;Monitor Acer V243HQ - 24" FHD - GRADO B - VGA/DVI - Negro;65;2 
6940B248TE1GB;Monitor Fujitsu Siemens B24-8 TE - GRADO B - 24" - VGA/DVI/DISPLAYPORT - Blanco;65;10 
6940HPE241I1GB;Monitor HP Elitedisplay E241i GRADO B - LED - 24" - VGA/DVI/DP- Negro/Plata;65;1 
6940HPLA2405WG1GB;Monitor HP LA2405 GRADO B - LCD - 24" - VGA/DVI/DP- Negro/Plata;65;1 
6940HPZR24W1GB;Monitor HP ZR24W GRADO B - LCD - 24" - VGA/DVI/DP - Negro;65;1 
6940L2440P1GB;Monitor Lenovo L2440P GRADO B - 24" - VGA/DVI - Negro;65;3 
6940T24D1GA;Monitor Lenovo ThinkVision T24D-10 - GRADO A - 24" WUXGA IPS  - VGA/HDMI/DP - Negro;85;7 
6940T24D1GB;Monitor Lenovo ThinkVision T24D-10 - GRADO B - 24" WUXGA IPS  - VGA/HDMI/DP - Negro;79;23 
6940DP2414H1GB;Monitor Dell P2414H - GRADO B - 24" - VGA/DVI/DP - Negro/Plata;65;2 
6940L1901GB;Monitor IBM L190- 19" - GRADO B - VGA - GRIS;35;14 
6940VVP191SGB;Monitor ViewSonic VP191s - GRADO B - 19" - VGA/DVI - Negro/Plata;35;1 
6940LLT2013SW1GB;Monitor Lenovo LT2013SW GRADO B - 20" - VGA - Negro;39;1 
6940VSVA2055SA1GB;Monitor ViewSonic VA2055SA GRADO B - 20" - VGA - Negro;39;1 
6910IMACME089LLA1GA;Todo en Uno - Apple iMac ME089LLA (2013) 27" 2.5K GTX775M 2GB GRADO A (Intel Core i5 4570 3.4Ghz/32GB/1TB/MAC OS Catalina) Preinstalado;629;3 
6910IMACME089LLA1GB;Todo en Uno - Apple iMac ME089LLA (2013) 27" 2.5K GTX775M 2GB GRADO B (Intel Core i5 4570 3.4Ghz/32GB/1TB/MAC OS Catalina) Preinstalado;629;7 
6910IMACME089LLA2GB;Todo en Uno - Apple iMac ME089LLA (2013) 27" 2.5K GTX775M 2GB GRADO B (Intel Core i5 4570 3.4Ghz/32GB/1TB/MAC OS Maverick) Preinstalado;599;10 
6920AMBAMC905LLA1GA;Portátil Apple Macbook Air MC905LLA (2010) + Nvidia GF 320M GRADO A (Intel Core 2 Duo 2.13Ghz/4GB/256SSD-M.2/13.3"/Mac OS High Sierra);299;1 
6920AMBAMD231LLA1GA;Portátil Apple Macbook Air MD231LLA (2012) GRADO A (Intel Core I5 3427U 1.8Ghz/8GB/120SSD-M.2/13.3"/Mac OS Catalina);459;1 
6920AMBAMD760LLA1GA;Portátil Apple Macbook Air MD760LLA (2013) GRADO A (Intel Core I5 4250U 1.3Ghz/4GB/120SSD-M.2/13.3"/Mac OS Big Sur);399;11 
6920AMBAMD760LLA2GA;Portátil Apple Macbook Air MD760LLA (2014) GRADO A (Intel Core I7 4650U 1.7Ghz/8GB/120SSD-M.2/13.3"/Mac OS Big Sur);489;1 
6920AMBAMD760LLB1GA;Portátil Apple Macbook Air MD760LLB (2014) GRADO A (Intel Core I5 4260U 1.4Ghz/4GB/120SSD-M.2/13.3"/Mac OS Big Sur);399;8 
6920AMBAMF068LLA1GA;Portátil Apple Macbook Air MF068LLA (2013) GRADO A (Intel Core i7 4650U 1.7Ghz/4GB/256SSD-M.2/13.3"/Mac OS Big Sur);489;1 
6920AMBAMF068LLA2GA;Portátil Apple Macbook Air MF068LLA (2013) GRADO A (Intel Core i7 4650U 1.7Ghz/8GB/120SSD-M.2/13.3"/Mac OS Big Sur);489;2 
6920AMBAMJVELLA1GA;Portátil Apple Macbook Air MJVE2LLA (2015) GRADO A (Intel Core i5 5250U 1.6Ghz/8GB/256SSD-M.2/13.3"/Mac OS Big Sur);469;1 
6920AMBAMJVELLA2GA;Portátil Apple Macbook Air MJVE2LLA (2015) GRADO A (Intel Core i5 5250U 1.6Ghz/4GB/120SSD-M.2/13.3"/Mac OS Big Sur);399;10 
6920AMBAMJVELLA3GA;Portátil Apple Macbook Air MJVE2LLA (2015) GRADO A (Intel Core i5 5250U 1.6Ghz/8GB/120SSD-M.2/13.3"/Mac OS Big Sur);469;2 
6920AMBAMJVM2LLA1GA;Portátil Apple Macbook Air MJVM2LLA (2015) GRADO A (Intel Core i5 5250U 1.6Ghz/4GB/120SSD-M.2/11.6"/Mac OS Big Sur);459;2 
6920AMBAMJVM2LLA2GA;Portátil Apple Macbook Air MJVM2LLA (2015) GRADO A (Intel Core I5 5250U 1.6Ghz/4GB/256SSD-M.2/11.6"/Mac OS Big Sur);469;1 
6920AMBMGX72LLA1GA;Portátil Apple Macbook Pro Retina MGX72LLA (2014) GRADO A (Intel Core i5 4278U 2.6Ghz/4GB/120SSD-M.2/13.3"/Mac OS Big Sur);479;1 
6920AMBP9.21GAP;Portátil Apple Macbook PRO 9.2 A1278 Grado A+ (Intel Core i5 3210M 2.5Ghz/8GB/120SSD/13.3"/DVDRW/MacOS Catalina);289;15 
6920AMBP9.22GAP;Portátil Apple Macbook PRO 9.2 A1278 Grado A+ (Intel Core i5 3210M 2.5Ghz/8GB/500GB/13.3"/DVDRW/MacOS Catalina);289;3 
6920AMBPMC700LLA1GA;Portátil Apple Macbook Pro MC700LLA (2011) GRADO A (Intel Core i5 2415M 2.3Ghz/8GB/320GB/13.3"/Mac OS High Sierra);279;1 
6920AMBPMD101LLA1GA;Portátil Apple Macbook Pro MD101LLA (2012) GRADO A (Intel Core i5 3210M 2.5Ghz/8GB/120SSD/13.3"/Mac OS Catalina);289;16 
6920AMBPMD101LLA2GA;Portátil Apple Macbook Pro MD101LLA(2012) GRADO A (Intel Core i5 3210M 2.5Ghz/8GB/500GB/13.3"/Mac OS Catalina);299;2 
6950IP5A1823;Tablet iPad 5 Wifi+4G - A1823 - 32Gb - Silver- Grado A 2017;285;13 
6950IPA1823G;Tablet iPad 5 Wifi+4G - A1823 - 32Gb - Gold- Grado A;299;3 
5702194752;Cargador Portátil Toshiba 19V 4.74A 5.5*2.5mm (Ref. 1);8.19;339 
5703193343;Cargador Portátil HP TouchSmart 19.5v 3.33A 4.5*3.0mm (Ref. 4);7.77;145 
570319443;Cargador Portátil HP Envy15 19.5v 4.62A 4.5*3.0mm (Ref. 7);8.62;238 
5703194775;Cargador Portátil HP/Compaq 19V 4.74A 7.4*5.0mm (Ref. 2);8.62;36 
ICP135W;Transformador 135W (Especifico USDT HP);16;87 
5704194751;Cargador Portátil Acer 19V 4.74A 5.5*1.7mm (Ref. 3);8.19;275 
5707194675;Cargador Portátil Dell 19.5V 4.62A 7.4*5.0mm (Ref. 5);9.04;250 
99050190;Cargador Portátil Universal 90w  9 TIPS  SM-90 - Smarters;12.9;400 
99050190LENUSB;Punta para cargador universal 90w SM-90 - Lenovo Yoga 3 - USB TIP;2.99;85 
570122045R;Cargador Portátil Lenovo 20V 4.5A Rectangular Square (Ref. 6);8.62;70 
570122045U;Cargador Portátil Lenovo 20V 4.5A USB TIP (Ref. 8);13.5;67 
